R,AB,H,2B,3B,HR,BB,SO,SB,CS
569,3883,1045,211,18,153,372,652.0,48.0,21.0
747,5482,1411,255,35,189,571,1170.0,60.0,44.0
726,5229,1410,243,62,98,605,590.0,65.0,53.0
757,5371,1401,258,24,181,608,847.0,99.0,49.0
533,5349,1244,212,50,69,452,1019.0,132.0,59.0
762,5176,1474,230,90,33,470,641.0,273.0,
721,5441,1453,229,25,101,520,510.0,82.0,
755,5508,1440,239,40,114,644,696.0,105.0,69.0
829,5644,1529,254,46,187,602,941.0,106.0,68.0
584,5233,1351,215,41,90,492,603.0,48.0,44.0
643,5478,1418,240,35,75,531,796.0,100.0,46.0
738,5627,1521,259,32,161,446,923.0,100.0,43.0
660,5675,1481,262,46,113,403,910.0,120.0,46.0
1018,4913,1393,204,97,66,486,364.0,231.0,
797,5570,1512,275,23,188,645,911.0,139.0,48.0
648,5416,1333,225,44,122,474,960.0,92.0,58.0
802,4810,1343,202,72,24,351,251.0,187.0,
605,5160,1377,285,69,28,413,494.0,85.0,80.0
928,5702,1622,323,32,221,660,1041.0,83.0,26.0
731,5581,1449,265,40,142,521,923.0,144.0,58.0
772,5586,1531,272,29,145,544,1042.0,73.0,49.0
749,5456,1407,255,30,141,563,906.0,165.0,76.0
716,5212,1345,226,53,74,601,530.0,73.0,55.0
540,5257,1263,177,39,54,560,742.0,34.0,46.0
813,5545,1569,310,39,124,623,728.0,65.0,36.0
783,4360,1283,204,73,20,382,226.0,350.0,
579,5412,1329,236,42,95,484,1056.0,221.0,100.0
944,5009,1365,206,85,20,400,425.0,336.0,
408,4925,1115,136,43,16,356,681.0,93.0,
878,5670,1598,343,25,208,558,1160.0,83.0,24.0
568,5314,1147,249,15,137,433,1389.0,78.0,23.0
703,5005,1398,270,34,120,471,916.0,105.0,57.0
550,5385,1265,210,23,63,534,812.0,126.0,80.0
636,3845,896,133,84,32,211,545.0,,
543,3943,1042,178,16,120,402,715.0,65.0,54.0
582,5549,1333,292,41,149,391,1595.0,57.0,20.0
802,5223,1525,244,97,43,555,369.0,122.0,89.0
750,5526,1476,252,30,211,493,1303.0,58.0,29.0
582,5070,1219,231,57,17,549,620.0,121.0,98.0
585,5104,1250,173,49,54,537,536.0,41.0,
819,5304,1514,172,88,47,468,264.0,210.0,
831,5649,1494,250,34,212,601,1223.0,65.0,44.0
658,3952,987,151,60,11,172,339.0,,
945,5651,1653,304,29,230,611,937.0,111.0,54.0
753,5343,1425,259,56,72,590,480.0,81.0,
529,4880,1157,155,45,8,534,617.0,203.0,
892,4937,1436,178,97,27,477,263.0,271.0,
769,5542,1368,268,21,220,586,1276.0,65.0,20.0
799,5606,1491,274,38,172,619,1024.0,138.0,36.0
657,5398,1333,256,25,161,467,1106.0,93.0,73.0
521,2126,673,107,30,7,29,26.0,48.0,14.0
916,5353,1613,241,83,31,441,337.0,212.0,
585,5109,1263,162,98,25,420,457.0,186.0,
624,2748,926,131,32,8,70,45.0,,
656,5515,1442,239,25,136,484,917.0,96.0,68.0
644,5592,1418,203,43,140,457,998.0,76.0,47.0
366,2207,588,46,23,6,55,47.0,20.0,13.0
677,5046,1359,259,65,61,523,452.0,56.0,46.0
724,5293,1407,263,62,91,523,553.0,61.0,
982,5471,1655,310,46,139,589,567.0,103.0,
842,5586,1554,273,26,174,606,825.0,77.0,45.0
654,5414,1406,197,31,116,512,846.0,66.0,44.0
695,5458,1433,260,46,122,503,989.0,101.0,49.0
702,5536,1436,260,24,193,390,1166.0,91.0,31.0
743,5665,1516,277,24,152,431,902.0,89.0,36.0
670,3986,1155,238,16,139,530,660.0,55.0,40.0
585,4000,1111,246,30,108,379,669.0,137.0,36.0
349,2042,523,97,6,118,228,471.0,29.0,8.0
572,3926,931,120,26,4,118,558.0,,
647,5472,1335,228,49,120,500,909.0,106.0,75.0
622,5152,1386,172,90,31,376,559.0,173.0,
581,5475,1356,197,31,94,498,1054.0,117.0,56.0
773,4604,1374,192,88,16,435,348.0,181.0,
772,5605,1493,316,29,198,520,1131.0,46.0,35.0
759,5294,1418,212,39,164,537,822.0,48.0,32.0
700,5425,1341,263,30,149,567,1289.0,101.0,32.0
669,3657,1010,209,86,34,123,423.0,,
806,5263,1417,222,46,164,693,624.0,40.0,34.0
547,3978,1045,238,21,99,417,680.0,59.0,37.0
570,5404,1286,205,44,127,439,1049.0,68.0,60.0
738,5314,1460,262,42,74,580,405.0,46.0,28.0
760,5508,1499,282,48,161,500,863.0,174.0,73.0
659,5447,1412,235,45,84,604,775.0,99.0,47.0
819,4725,1303,173,89,32,475,336.0,280.0,
739,5490,1443,220,24,183,556,834.0,106.0,46.0
737,5340,1481,302,63,30,603,417.0,79.0,61.0
283,1560,408,40,19,2,20,36.0,11.0,8.0
366,2273,633,79,30,0,57,111.0,,
687,5500,1384,261,49,154,473,840.0,128.0,48.0
787,5505,1475,285,26,175,542,927.0,86.0,42.0
539,5034,1210,169,79,20,490,681.0,138.0,117.0
348,3493,868,136,35,57,304,603.0,103.0,42.0
764,5567,1397,272,19,212,554,1227.0,63.0,25.0
700,5201,1407,294,56,50,525,464.0,58.0,37.0
870,4800,1308,178,73,48,474,490.0,307.0,
726,4748,1202,209,65,42,420,467.0,231.0,
635,5517,1389,236,23,125,445,923.0,128.0,59.0
720,5565,1408,307,45,173,571,1298.0,102.0,40.0
765,5525,1446,257,23,215,436,1220.0,99.0,36.0
601,5081,1277,194,100,17,447,591.0,197.0,
569,5566,1372,195,31,103,353,932.0,36.0,31.0
521,5112,1255,166,65,19,472,765.0,202.0,160.0
632,5482,1353,267,30,100,572,958.0,160.0,70.0
730,5463,1505,290,33,127,454,668.0,97.0,62.0
834,4531,1255,185,94,53,340,392.0,373.0,
858,5676,1565,345,29,184,606,1009.0,94.0,55.0
635,5496,1314,214,29,169,469,1102.0,59.0,36.0
741,5505,1398,232,34,137,639,947.0,148.0,55.0
419,3196,793,114,34,8,89,186.0,,
722,5664,1494,306,29,165,455,1070.0,122.0,62.0
729,4649,1170,178,77,14,375,486.0,355.0,
370,3546,838,138,29,57,342,611.0,72.0,41.0
968,5660,1664,320,53,161,601,907.0,131.0,61.0
680,5458,1378,245,20,183,475,1188.0,72.0,22.0
761,5624,1520,278,30,147,447,848.0,161.0,57.0
654,5502,1387,252,16,154,475,989.0,81.0,53.0
811,5553,1458,296,13,235,540,1016.0,67.0,34.0
648,5184,1449,229,67,32,386,330.0,83.0,
828,5451,1578,340,66,84,577,641.0,49.0,
795,5561,1509,290,33,139,586,989.0,108.0,37.0
708,5526,1399,229,40,145,563,977.0,110.0,66.0
921,4692,1433,194,69,29,476,365.0,188.0,
698,4519,1216,173,89,42,355,368.0,219.0,
720,5098,1315,212,36,179,649,738.0,65.0,37.0
772,5475,1507,274,59,100,544,473.0,37.0,
818,5646,1511,358,22,211,587,1140.0,68.0,17.0
657,4180,1085,151,59,24,250,537.0,156.0,
692,4548,1292,174,87,28,344,269.0,198.0,
463,4588,1175,163,52,18,304,418.0,148.0,
1179,5088,1780,258,137,40,510,254.0,285.0,
528,5316,1221,151,29,88,516,929.0,54.0,39.0
927,5680,1637,310,38,169,614,989.0,174.0,42.0
883,5622,1604,293,33,173,547,1054.0,148.0,63.0
557,5113,1259,197,91,24,419,656.0,182.0,111.0
662,3883,952,150,26,17,144,652.0,,
662,5245,1281,211,36,150,480,964.0,123.0,45.0
568,5326,1383,214,42,70,437,793.0,104.0,48.0
702,5351,1232,262,24,173,531,1341.0,104.0,29.0
437,3576,859,181,48,3,141,355.0,,
711,5410,1496,235,62,59,430,520.0,60.0,
748,5640,1495,294,33,161,478,1148.0,71.0,27.0
649,5334,1209,133,61,18,433,508.0,275.0,
639,4912,1217,167,70,15,655,581.0,179.0,
682,5546,1429,244,34,129,519,871.0,116.0,62.0
744,5150,1347,202,65,31,434,459.0,283.0,
678,5378,1443,234,49,124,503,622.0,41.0,35.0
649,5462,1427,299,26,128,431,901.0,71.0,35.0
718,5365,1446,291,51,73,593,561.0,45.0,25.0
752,4814,1356,155,88,39,388,283.0,208.0,
662,5474,1395,201,19,131,432,756.0,79.0,68.0
724,5463,1410,246,20,184,534,1022.0,113.0,49.0
595,5452,1340,211,37,85,518,778.0,88.0,55.0
597,5227,1302,215,37,63,500,555.0,25.0,31.0
776,5483,1454,228,44,162,604,834.0,106.0,57.0
706,5496,1351,259,29,200,585,1269.0,63.0,21.0
587,5444,1408,255,38,91,399,670.0,68.0,54.0
743,5494,1381,234,37,197,658,923.0,41.0,47.0
570,4925,1133,152,52,7,453,492.0,216.0,
632,5249,1292,188,69,81,610,719.0,37.0,21.0
676,5494,1434,233,50,95,469,822.0,115.0,58.0
480,4164,1081,150,53,13,271,365.0,130.0,
720,5244,1436,224,93,26,532,448.0,102.0,67.0
54,365,91,10,3,0,4,4.0,,3.0
505,4689,1176,138,65,8,277,522.0,171.0,
464,5384,1184,170,39,62,456,938.0,39.0,30.0
248,1959,446,96,5,59,239,517.0,25.0,10.0
713,5527,1315,267,32,195,550,1387.0,122.0,32.0
622,5335,1312,197,29,88,543,800.0,51.0,43.0
740,5439,1410,272,28,136,686,1074.0,115.0,58.0
778,4952,1403,163,68,48,395,270.0,182.0,
708,5529,1443,260,20,182,378,1549.0,63.0,28.0
737,5409,1341,284,13,214,528,1179.0,83.0,22.0
514,5552,1399,179,31,80,414,782.0,83.0,44.0
554,5465,1313,241,17,89,507,885.0,81.0,54.0
26,211,33,1,0,0,0,3.0,0.0,0.0
649,5463,1345,215,48,141,471,973.0,95.0,57.0
782,5617,1476,220,32,207,512,913.0,59.0,47.0
580,5399,1316,213,23,102,488,829.0,109.0,69.0
642,5261,1297,196,50,138,452,747.0,22.0,36.0
643,5436,1415,270,32,142,448,990.0,113.0,44.0
682,5171,1304,199,26,140,591,786.0,40.0,47.0
780,5592,1511,278,39,145,607,1068.0,116.0,48.0
619,5603,1356,251,27,125,443,1306.0,109.0,26.0
826,5664,1506,274,36,239,488,1052.0,65.0,25.0
780,5349,1473,261,45,139,727,687.0,28.0,19.0
564,5328,1259,212,56,70,421,982.0,132.0,50.0
625,5508,1358,274,30,149,542,1244.0,95.0,41.0
871,5433,1654,303,73,122,481,541.0,53.0,
640,5208,1289,229,34,124,522,858.0,66.0,30.0
279,1992,478,103,12,69,192,440.0,22.0,11.0
775,4762,1369,235,67,38,343,288.0,201.0,
570,5486,1327,282,24,121,448,1122.0,85.0,51.0
666,5377,1282,207,38,148,656,825.0,29.0,30.0
822,5496,1402,274,29,223,622,1401.0,62.0,31.0
713,5579,1409,258,38,153,539,1024.0,96.0,24.0
347,2916,733,121,27,5,110,193.0,,
491,5135,1217,153,50,24,316,550.0,143.0,
807,5542,1494,282,35,167,639,1083.0,116.0,27.0
892,4797,1285,179,102,37,382,379.0,527.0,
955,5373,1529,274,59,208,655,686.0,90.0,47.0
888,5418,1549,312,65,134,664,556.0,66.0,39.0
702,5494,1400,268,29,126,588,811.0,97.0,44.0
703,5129,1395,211,38,116,498,499.0,26.0,
634,5551,1355,282,20,123,535,1337.0,63.0,25.0
619,4736,1254,208,61,29,373,324.0,137.0,
607,5261,1439,240,41,60,381,479.0,55.0,
735,5386,1499,238,63,73,496,569.0,52.0,60.0
653,4588,1197,142,80,37,371,427.0,195.0,
799,5631,1497,219,34,206,608,870.0,84.0,40.0
830,5648,1543,232,53,143,645,844.0,75.0,68.0
691,5608,1507,303,28,120,392,1005.0,79.0,38.0
810,5689,1562,328,27,176,534,1149.0,64.0,30.0
527,5260,1216,198,39,66,483,549.0,42.0,
642,5036,1309,275,27,140,492,906.0,75.0,16.0
867,4849,1338,184,66,79,518,516.0,243.0,
636,5417,1364,289,34,125,499,1142.0,90.0,32.0
511,5251,1299,159,78,25,334,527.0,130.0,
682,5474,1382,224,33,124,580,834.0,104.0,55.0
672,5329,1399,242,45,54,560,515.0,45.0,38.0
580,5167,1317,220,26,78,534,711.0,85.0,44.0
272,2579,537,58,23,4,73,217.0,,
745,5387,1389,219,24,142,707,831.0,143.0,59.0
671,5490,1292,190,39,185,521,964.0,26.0,32.0
553,5274,1350,211,41,53,492,527.0,91.0,57.0
830,5343,1446,220,48,221,494,568.0,29.0,
510,4746,1191,208,50,42,323,469.0,114.0,
685,5433,1374,284,21,149,541,1094.0,58.0,35.0
665,5243,1393,229,70,66,557,510.0,81.0,
596,5074,1281,156,81,19,440,595.0,287.0,
818,5517,1451,234,22,214,604,908.0,69.0,43.0
600,5269,1344,246,45,55,567,521.0,47.0,58.0
718,5560,1476,302,38,134,519,1246.0,138.0,50.0
746,5472,1418,297,52,163,494,891.0,58.0,25.0
586,4957,1228,163,61,23,360,534.0,200.0,
618,5401,1372,203,31,95,509,801.0,119.0,79.0
731,5435,1370,213,25,163,553,983.0,139.0,61.0
765,5408,1440,281,58,91,775,552.0,50.0,39.0
704,4837,1267,229,27,173,574,803.0,92.0,45.0
727,5584,1475,290,41,117,523,969.0,119.0,68.0
729,5643,1503,277,37,152,406,898.0,100.0,42.0
735,5539,1427,352,12,155,478,1373.0,52.0,20.0
696,5476,1356,269,18,178,518,1353.0,38.0,17.0
962,4879,1469,199,96,45,489,219.0,326.0,
725,5503,1440,291,52,129,481,1161.0,160.0,50.0
729,4741,1290,181,49,20,379,465.0,264.0,
701,5450,1328,235,27,227,492,1436.0,80.0,38.0
579,5049,1179,165,69,29,486,553.0,131.0,
789,5572,1512,289,20,180,535,1015.0,118.0,39.0
702,5334,1483,249,79,44,547,460.0,94.0,47.0
609,5510,1361,227,26,97,456,1005.0,137.0,58.0
691,5267,1463,243,62,45,482,463.0,106.0,84.0
713,5333,1435,242,70,65,522,476.0,49.0,
566,5083,1208,170,28,108,511,991.0,100.0,52.0
657,5493,1411,275,43,122,392,1158.0,78.0,28.0
632,5492,1418,263,47,73,507,848.0,155.0,54.0
675,5604,1473,219,29,110,497,795.0,109.0,50.0
671,5459,1342,240,19,218,517,1302.0,42.0,18.0
629,4903,1275,240,35,119,475,849.0,120.0,53.0
682,5309,1427,210,76,46,432,545.0,131.0,113.0
690,5570,1448,237,27,147,566,1000.0,69.0,43.0
768,5497,1398,317,24,176,556,898.0,48.0,14.0
633,3942,1133,175,39,121,497,568.0,77.0,27.0
503,5145,1197,148,79,18,416,608.0,147.0,
640,5428,1361,178,34,110,453,867.0,124.0,70.0
788,5511,1445,239,16,196,604,949.0,105.0,43.0
629,4937,1281,245,27,125,456,972.0,84.0,55.0
717,5431,1410,279,20,156,471,991.0,73.0,34.0
691,4913,1304,247,24,138,526,877.0,90.0,47.0
678,5534,1404,218,20,139,537,876.0,82.0,53.0
667,5513,1394,289,34,155,442,1086.0,135.0,52.0
565,5078,1254,193,65,26,503,662.0,113.0,
548,5457,1330,198,26,112,401,966.0,88.0,36.0
786,5433,1387,236,36,167,671,860.0,109.0,42.0
598,5220,1354,195,91,27,312,552.0,163.0,
950,5683,1639,310,30,221,685,1057.0,113.0,34.0
219,1932,425,76,6,59,167,521.0,16.0,11.0
473,5503,1252,178,30,81,379,1203.0,72.0,45.0
793,4988,1429,208,110,34,364,400.0,172.0,
865,5649,1536,312,37,209,569,1125.0,164.0,54.0
445,3970,825,114,47,31,207,699.0,,
675,5522,1455,294,35,125,428,936.0,100.0,75.0
583,5424,1323,179,28,107,543,759.0,55.0,38.0
552,5199,1300,202,52,60,592,555.0,48.0,
750,5562,1549,252,26,140,461,607.0,79.0,51.0
534,5185,1188,160,23,104,543,924.0,82.0,53.0
749,5503,1441,291,32,167,589,1120.0,71.0,27.0
677,5620,1492,216,46,83,531,752.0,172.0,62.0
853,5518,1472,330,31,198,619,1134.0,63.0,37.0
544,4839,1225,167,46,19,303,578.0,133.0,
699,5469,1365,241,52,141,508,1071.0,87.0,54.0
823,4707,1267,220,78,23,522,403.0,335.0,
520,5179,1237,194,56,46,399,662.0,133.0,
718,5558,1495,287,57,103,483,1097.0,118.0,39.0
697,5376,1299,236,37,179,490,1514.0,88.0,25.0
570,5366,1338,171,39,125,383,872.0,63.0,57.0
608,5337,1388,260,63,60,511,641.0,51.0,50.0
651,4603,1076,128,59,12,315,559.0,353.0,
594,3952,1092,239,23,103,359,635.0,94.0,30.0
668,5458,1331,249,36,151,519,1213.0,67.0,36.0
731,5530,1486,305,25,126,593,820.0,59.0,39.0
839,5458,1458,272,31,176,620,771.0,155.0,53.0
537,4992,1144,149,52,12,577,711.0,251.0,191.0
661,5196,1407,229,64,53,445,517.0,72.0,62.0
623,5146,1310,256,51,24,376,641.0,190.0,
615,5552,1379,259,47,118,398,1165.0,86.0,33.0
501,2730,714,89,28,7,36,40.0,36.0,4.0
667,4534,1201,177,56,15,522,516.0,273.0,
634,5087,1313,140,88,14,336,339.0,107.0,
695,5549,1425,239,35,134,546,872.0,117.0,53.0
743,5413,1569,235,76,56,339,318.0,79.0,60.0
731,5509,1441,274,29,160,540,1184.0,168.0,55.0
721,5447,1422,276,31,185,481,1083.0,94.0,31.0
642,5524,1390,228,54,126,403,955.0,56.0,39.0
732,5493,1410,270,36,122,542,860.0,228.0,56.0
563,5170,1262,195,40,166,364,760.0,35.0,27.0
747,5389,1452,251,33,187,546,752.0,51.0,36.0
488,4822,1139,157,66,24,398,550.0,156.0,
664,5436,1397,271,27,148,461,787.0,95.0,61.0
628,5369,1312,223,31,147,461,989.0,28.0,25.0
906,5717,1644,305,39,223,508,863.0,70.0,43.0
584,4994,1224,218,64,13,549,596.0,210.0,
817,5565,1520,303,11,214,593,903.0,86.0,48.0
552,5243,1320,217,56,54,326,428.0,25.0,
387,3002,726,130,52,7,76,237.0,,
810,5540,1374,296,24,223,534,1578.0,131.0,38.0
904,5490,1663,285,116,60,503,335.0,94.0,
684,5532,1376,289,20,185,512,1159.0,107.0,23.0
776,5556,1557,270,42,140,526,747.0,107.0,68.0
707,4734,1338,261,66,47,329,292.0,121.0,
107,1004,194,14,8,0,6,42.0,23.0,7.0
700,5522,1401,279,26,151,423,1149.0,127.0,29.0
713,5485,1370,246,20,217,418,1331.0,44.0,25.0
567,5307,1265,170,37,114,453,1021.0,40.0,36.0
842,5368,1494,226,61,135,700,597.0,71.0,46.0
690,5449,1482,198,39,99,508,710.0,113.0,80.0
437,5149,1170,171,57,10,283,756.0,150.0,
631,5594,1464,262,44,94,495,996.0,208.0,118.0
679,5564,1466,278,24,149,474,841.0,100.0,55.0
784,5485,1415,266,37,172,642,1120.0,121.0,49.0
607,5433,1332,227,47,86,549,829.0,100.0,77.0
729,5637,1522,235,70,130,444,871.0,66.0,34.0
731,5734,1594,279,63,100,460,838.0,116.0,69.0
689,5331,1315,205,37,132,568,876.0,164.0,93.0
584,5213,1265,185,50,103,475,928.0,56.0,30.0
465,5196,1213,202,36,39,469,609.0,56.0,
280,2570,641,68,14,6,24,98.0,,
765,4857,1399,228,92,28,403,427.0,151.0,
947,5560,1501,281,23,239,750,1159.0,40.0,15.0
701,5502,1399,214,38,179,540,854.0,35.0,43.0
429,3516,883,165,11,88,404,454.0,41.0,34.0
659,5535,1418,226,27,116,509,770.0,145.0,58.0
867,5518,1452,267,33,222,627,1138.0,147.0,46.0
735,5238,1352,204,50,133,627,629.0,42.0,
845,5412,1544,310,74,78,566,454.0,52.0,54.0
724,5537,1439,291,60,139,466,972.0,133.0,61.0
484,4615,1139,110,43,5,356,480.0,108.0,
621,4905,1268,265,24,118,400,901.0,120.0,49.0
782,5559,1486,322,30,172,533,990.0,81.0,37.0
631,4965,1334,220,101,17,466,534.0,189.0,
734,4012,1052,155,64,22,203,315.0,,
770,5623,1608,248,56,123,392,479.0,32.0,
663,5523,1469,213,38,95,489,755.0,76.0,40.0
695,4733,1300,191,62,9,422,455.0,259.0,
652,5438,1400,235,25,107,500,1001.0,149.0,54.0
645,4814,1202,210,27,168,520,933.0,73.0,43.0
712,4977,1333,219,84,34,542,501.0,173.0,
707,5241,1317,214,44,124,606,914.0,140.0,63.0
673,5562,1473,259,33,114,437,735.0,39.0,30.0
696,5499,1449,236,31,109,569,811.0,104.0,58.0
876,5601,1568,338,35,205,541,1049.0,72.0,39.0
748,5427,1526,284,52,79,548,555.0,55.0,
779,5111,1442,204,108,22,485,,258.0,
745,5576,1467,220,58,116,556,803.0,76.0,21.0
684,5218,1427,226,71,30,444,501.0,296.0,
1009,5634,1629,309,32,209,743,1099.0,147.0,50.0
634,5393,1423,221,41,106,409,625.0,83.0,68.0
624,5216,1444,209,62,16,426,348.0,81.0,
647,5484,1386,288,39,137,506,1267.0,69.0,38.0
837,5381,1518,285,50,114,722,480.0,23.0,40.0
624,5558,1318,249,17,188,529,1353.0,49.0,23.0
685,5676,1468,302,31,130,519,1142.0,62.0,41.0
492,3475,769,116,47,13,328,456.0,182.0,
722,5502,1479,283,78,57,475,523.0,68.0,50.0
293,1968,519,112,12,66,192,451.0,33.0,12.0
967,5300,1521,259,55,166,701,543.0,72.0,37.0
857,5445,1634,269,81,95,467,479.0,82.0,53.0
633,5257,1345,227,47,77,517,533.0,60.0,54.0
836,5675,1603,272,37,162,450,942.0,143.0,46.0
676,5531,1436,239,46,102,460,869.0,132.0,70.0
733,5505,1414,253,22,162,558,1022.0,90.0,46.0
662,3669,961,122,74,34,139,261.0,,
860,5511,1432,282,24,230,514,1420.0,160.0,41.0
634,5145,1344,199,81,23,576,502.0,195.0,
378,2387,646,79,35,7,27,36.0,,
855,5492,1511,249,37,184,603,649.0,89.0,70.0
790,5579,1515,293,30,188,522,1218.0,93.0,43.0
576,5470,1390,236,26,79,449,888.0,84.0,58.0
830,5444,1464,243,60,151,616,565.0,51.0,33.0
791,5624,1445,280,17,242,516,1384.0,56.0,27.0
618,4665,1319,222,84,23,429,427.0,121.0,
686,5550,1428,277,33,168,455,1285.0,77.0,36.0
790,5619,1547,264,31,141,488,843.0,159.0,55.0
654,5456,1312,215,44,138,531,1002.0,54.0,37.0
550,5192,1318,233,29,40,423,507.0,38.0,
613,5411,1297,265,36,137,447,1235.0,94.0,45.0
773,5614,1514,264,28,197,530,1032.0,83.0,43.0
706,5483,1468,240,65,108,432,836.0,50.0,39.0
768,5449,1433,259,50,126,620,901.0,124.0,46.0
736,5546,1495,215,24,160,522,736.0,58.0,34.0
834,5558,1469,323,41,200,547,1071.0,146.0,35.0
664,4875,1356,195,95,42,275,371.0,132.0,
639,5517,1425,255,46,125,443,862.0,85.0,67.0
756,5006,1399,225,103,41,530,506.0,347.0,
651,5526,1447,262,45,106,415,749.0,118.0,81.0
495,3900,980,149,50,23,179,380.0,,
749,4947,1365,280,34,122,625,851.0,50.0,30.0
865,5534,1481,284,19,242,499,1030.0,78.0,51.0
799,5611,1523,247,53,116,556,802.0,106.0,68.0
836,5568,1526,288,39,162,476,926.0,120.0,42.0
697,5218,1335,229,30,155,638,820.0,29.0,22.0
611,5452,1348,252,25,108,415,1025.0,100.0,36.0
653,4656,1068,162,70,19,298,479.0,326.0,
689,5474,1395,267,33,190,441,1106.0,134.0,52.0
630,5064,1264,233,66,16,522,605.0,160.0,
558,5538,1289,209,35,123,499,1031.0,63.0,39.0
704,5465,1351,269,24,187,560,1125.0,85.0,47.0
901,4871,1452,188,84,31,412,330.0,332.0,
774,5571,1369,311,26,215,562,1453.0,78.0,18.0
1011,5151,1553,246,90,80,468,335.0,202.0,
679,5503,1386,239,28,153,443,1046.0,92.0,41.0
739,5297,1458,272,49,95,671,536.0,43.0,
566,5295,1331,253,57,53,469,539.0,46.0,46.0
861,5199,1540,237,93,35,424,,226.0,
737,5453,1308,266,24,194,555,1484.0,74.0,35.0
758,5456,1352,191,36,209,651,894.0,69.0,21.0
328,2685,633,82,21,7,19,47.0,20.0,24.0
525,4844,1272,167,66,25,258,405.0,112.0,
949,5720,1613,373,25,222,659,1189.0,68.0,30.0
714,5503,1453,303,32,126,521,938.0,80.0,27.0
747,5496,1392,255,29,205,478,1363.0,105.0,28.0
836,5579,1551,334,42,176,597,928.0,67.0,39.0
686,5419,1275,257,26,177,449,1500.0,125.0,45.0
707,5488,1465,316,44,100,498,879.0,107.0,62.0
549,3574,838,105,58,28,428,385.0,164.0,
785,5510,1447,281,37,182,610,1231.0,68.0,37.0
544,5362,1297,186,27,102,472,920.0,49.0,39.0
590,5317,1344,223,58,50,500,544.0,69.0,74.0
813,5579,1407,322,20,227,550,1381.0,35.0,21.0
834,4182,1176,162,50,142,264,469.0,,
427,3766,941,161,26,63,386,543.0,89.0,50.0
845,5299,1533,282,100,51,587,420.0,141.0,73.0
838,5176,1448,268,71,115,539,626.0,64.0,82.0
723,5251,1526,233,81,36,433,543.0,161.0,114.0
681,5488,1363,276,19,155,466,1070.0,104.0,52.0
753,5484,1390,249,38,219,565,1329.0,120.0,39.0
458,3677,910,119,26,104,342,647.0,98.0,47.0
741,5125,1441,165,66,23,389,357.0,235.0,
684,4189,1063,179,60,36,207,660.0,,
543,5372,1253,178,30,100,462,1003.0,58.0,51.0
872,5276,1531,190,55,53,405,303.0,172.0,
861,5259,1448,195,106,13,487,296.0,228.0,
845,5628,1540,292,26,161,678,1040.0,102.0,51.0
495,5303,1214,162,41,70,381,872.0,40.0,48.0
707,5372,1427,264,38,89,453,503.0,72.0,
849,5326,1487,277,67,124,620,592.0,88.0,38.0
538,5157,1262,178,70,10,450,685.0,167.0,157.0
712,5537,1398,273,24,185,510,1123.0,112.0,41.0
698,5134,1419,207,59,66,469,521.0,137.0,149.0
747,5481,1433,289,34,212,458,1049.0,108.0,70.0
747,5599,1478,256,35,158,561,1061.0,130.0,66.0
704,5608,1465,257,44,154,432,842.0,23.0,30.0
794,5308,1439,230,72,115,610,581.0,27.0,23.0
447,3077,780,144,37,11,146,214.0,,
470,5075,1195,137,69,9,358,682.0,110.0,
810,5593,1444,292,30,223,676,1179.0,133.0,41.0
726,5448,1413,327,19,175,531,1162.0,79.0,34.0
723,5293,1385,234,37,130,565,617.0,80.0,34.0
412,4278,1039,124,44,22,343,485.0,83.0,
804,5577,1488,289,20,203,519,1035.0,161.0,53.0
709,5289,1402,207,49,182,487,853.0,39.0,23.0
685,5512,1414,298,27,149,479,1236.0,55.0,31.0
709,5470,1386,297,21,169,583,1188.0,116.0,52.0
679,5438,1515,259,72,70,428,438.0,40.0,
666,5233,1328,245,50,47,605,579.0,142.0,55.0
683,5318,1448,231,53,43,538,416.0,43.0,46.0
663,5390,1341,219,33,144,513,844.0,67.0,42.0
831,5605,1576,267,47,184,533,681.0,93.0,57.0
656,5523,1332,259,40,182,425,1594.0,98.0,41.0
598,5288,1392,250,55,45,366,455.0,60.0,63.0
734,5421,1443,226,40,150,509,590.0,65.0,46.0
806,5511,1432,263,33,199,593,1056.0,140.0,63.0
260,2180,494,39,15,2,18,35.0,,
632,5455,1398,205,38,116,498,602.0,41.0,24.0
906,5524,1422,303,20,249,644,1359.0,105.0,25.0
680,5592,1429,205,29,158,471,793.0,60.0,68.0
793,5643,1506,320,31,168,564,1032.0,86.0,40.0
677,5518,1345,204,39,139,525,954.0,75.0,52.0
703,5433,1358,213,28,143,588,841.0,87.0,42.0
734,5494,1429,272,24,161,624,901.0,91.0,68.0
707,5530,1429,257,53,146,525,923.0,39.0,33.0
686,5353,1319,208,33,113,592,818.0,341.0,123.0
315,1915,473,87,7,94,251,480.0,27.0,7.0
692,4298,1156,175,68,21,237,410.0,155.0,
665,5434,1338,236,24,132,538,1183.0,124.0,50.0
614,5564,1346,285,15,151,533,1430.0,52.0,33.0
798,5512,1447,234,30,198,613,885.0,138.0,58.0
877,5605,1518,304,14,230,684,1042.0,98.0,33.0
691,5558,1462,286,17,141,459,1200.0,68.0,23.0
686,5611,1435,272,9,149,388,1269.0,58.0,10.0
705,5282,1360,196,46,148,591,891.0,84.0,51.0
760,5376,1388,206,29,138,657,786.0,143.0,90.0
827,5073,1509,204,71,17,418,381.0,364.0,
670,5212,1361,204,53,100,685,493.0,42.0,25.0
