R,AB,H,2B,3B,HR,BB,SO,SB,CS
738,5526,1379,317,22,166,534,1328.0,47.0,27.0
615,5384,1348,241,24,138,538,904.0,93.0,76.0
651,5379,1327,240,45,110,553,947.0,119.0,60.0
729,5498,1432,263,24,174,493,1039.0,85.0,46.0
758,4871,1177,172,70,25,353,439.0,334.0,
890,5308,1543,287,57,124,591,505.0,42.0,44.0
717,5187,1525,294,79,62,453,363.0,75.0,85.0
735,5361,1541,281,77,52,440,398.0,44.0,
821,5354,1506,269,64,100,601,557.0,79.0,61.0
770,5499,1397,302,28,208,543,1371.0,76.0,28.0
569,5440,1342,236,48,74,435,830.0,140.0,61.0
254,1929,435,88,5,60,207,545.0,50.0,16.0
626,5214,1287,187,55,164,428,806.0,37.0,35.0
981,5537,1606,303,52,172,647,630.0,38.0,23.0
589,5488,1303,222,24,128,455,1384.0,45.0,31.0
382,3757,963,170,35,32,311,525.0,83.0,62.0
497,5244,1219,174,44,26,430,465.0,55.0,42.0
472,5207,1220,186,18,91,420,762.0,49.0,53.0
559,5285,1309,215,33,88,415,577.0,44.0,40.0
801,5602,1608,275,34,143,490,872.0,101.0,42.0
586,5532,1410,209,46,73,471,739.0,120.0,53.0
737,5527,1490,252,56,96,489,823.0,134.0,112.0
586,5414,1306,203,28,138,438,907.0,59.0,33.0
659,5092,1366,190,77,27,508,620.0,193.0,
708,5448,1404,248,32,133,552,866.0,152.0,58.0
697,5631,1462,292,27,140,461,1322.0,98.0,45.0
647,5509,1354,200,38,125,533,916.0,50.0,33.0
583,5561,1383,227,48,73,378,897.0,110.0,45.0
755,5273,1392,241,39,137,707,733.0,43.0,17.0
897,5484,1693,305,51,153,573,470.0,59.0,
756,4929,1244,180,51,21,482,412.0,232.0,
194,1469,326,40,33,7,53,282.0,,
464,3637,972,190,24,64,375,553.0,58.0,37.0
562,5373,1274,207,41,105,445,966.0,98.0,54.0
624,5441,1319,257,22,154,470,1323.0,106.0,38.0
641,5511,1446,232,36,96,432,673.0,52.0,57.0
631,5228,1439,241,41,52,447,377.0,60.0,
390,3758,829,121,21,8,214,412.0,,
627,5469,1423,264,35,86,429,559.0,31.0,
831,5702,1620,270,45,157,456,944.0,141.0,54.0
737,5535,1415,285,42,140,524,921.0,140.0,65.0
964,4872,1584,243,66,19,437,255.0,401.0,
835,5442,1655,246,106,67,413,407.0,92.0,71.0
883,5461,1724,268,100,58,582,376.0,95.0,89.0
687,5379,1397,224,40,153,457,828.0,45.0,22.0
767,5515,1444,239,29,169,560,946.0,125.0,48.0
810,4854,1171,186,96,16,478,713.0,260.0,
291,2135,545,72,34,6,78,110.0,,
675,5686,1506,217,57,111,419,1008.0,51.0,38.0
610,5501,1411,284,42,75,439,741.0,131.0,71.0
691,5401,1360,246,28,161,552,871.0,51.0,34.0
604,5360,1244,179,54,122,525,1062.0,80.0,54.0
